"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"14 mar 2025 22:45:12 UTC","24445344602","Ordine","405-0791355-5952369","EPR-EU1G","EPRESINART Resina Epossidica Trasparente Kit Principianti,3785ml 1:1 Resina Epoxy con Indurente per Creazi,Fai da Te, Legno, Decorazioni","1","amazon.it","Amazon","MILANO","MILANO","20124","MarketplaceFacilitator","54,09","11,90","0","0","0","0","0","0","-11,90","-8,58","-7,25","-0,17","0","38,09"
"14 mar 2025 23:13:11 UTC","24445344602","Ordine","402-8847182-0726766","9W-G2D2-1J3T","BUTIRESIN Ensemble de résine époxy, 32oz/948ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Santa Giustina in colle","Padova","35010","MarketplaceFacilitator","20,11","4,43","0","0","0","0","-4,02","-0,89","-3,54","-2,94","-9,38","-0,06","0","3,71"
"15 mar 2025 13:33:30 UTC","24445344602","Ordine","403-5254940-9182731","EPR-EU1G","EPRESINART Resina Epossidica Trasparente Kit Principianti,3785ml 1:1 Resina Epoxy con Indurente per Creazi,Fai da Te, Legno, Decorazioni","1","amazon.it","Amazon","Barberino di Mugello","Firenze","50031","MarketplaceFacilitator","54,09","11,90","0","0","0","0","0","0","-11,90","-8,58","-7,25","-0,17","0","38,09"
"15 mar 2025 22:42:37 UTC","24445344602","Ordine","405-3517995-2405104","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Terni","Terni","05100","MarketplaceFacilitator","20,24","4,45","0","0","0","0","0","0","-4,45","-3,21","-9,38","-0,06","0","7,59"
"16 mar 2025 22:10:39 UTC","24445344602","Ordine","171-4292534-9662766","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Umbertide","Perugia","06019","MarketplaceFacilitator","20,24","4,45","0","0","0","0","0","0","-4,45","-3,21","-9,38","-0,06","0","7,59"
"17 mar 2025 17:03:48 UTC","24461782972","Ordine","403-7293195-8795524","L7-UJO5-2Z9P","BUTIRESIN Ensemble de résine époxy, 16oz/474ml, transparent, non toxique, rapport 1:1 ; Sans danger pour les aliments et à faible odeur, sans bulle","1","amazon.it","Amazon","Portogruaro","VE","30026","MarketplaceFacilitator","13,11","2,88","0","0","0","0","-2,62","-0,58","-2,30","-1,92","-8,55","-0,04","0","-0,02"
"17 mar 2025 19:11:52 UTC","24461782972","Ordine","404-7167190-3279566","EPR-EU1G","EPRESINART Resina Epossidica Trasparente Kit Principianti,3785ml 1:1 Resina Epoxy con Indurente per Creazi,Fai da Te, Legno, Decorazioni","2","amazon.it","Amazon","roma","Roma","00187","MarketplaceFacilitator","108,18","23,80","3,27","0,72","0","0","-3,27","-0,72","-23,80","-17,16","-14,50","-0,34","0","76,18"
"17 mar 2025 22:02:06 UTC","24461782972","Trasferimento","","","Per il conto che termina con: 332","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-102,66","-102,66"
"17 mar 2025 23:05:10 UTC","24461782972","Ordine","171-9525085-9225906","L8-JVRH-OZ94","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Roma","RM","00132","MarketplaceFacilitator","20,24","4,45","0","0","0","0","-1,01","-0,22","-4,23","-3,05","-9,38","-0,06","0","6,74"
"18 mar 2025 18:14:15 UTC","24461782972","Ordine","404-2021109-1378746","LZ-1BCI-EQUM","EPRESINART Set di resine epossidiche, 36oz/1064ml Resina epossidica non tossica, chiaro set di resine da colata, resina epossidica in rapporto 1:1 per","1","amazon.it","Amazon","Cassano allo ionio","Cosenza","87011","MarketplaceFacilitator","22,12","4,87","0","0","0","0","0","0","-4,87","-3,51","-9,38","-0,07","0","9,16"
