"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"04.03.2025 23:11:42 UTC","24376747262","Bestellung","302-5022034-3961940","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Leipzig","","04249","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"04.03.2025 23:27:39 UTC","24376747262","Bestellung","303-5935377-3513934","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Mülheim An Der Ruhr","","45479","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"04.03.2025 23:32:22 UTC","24376747262","Bestellung","028-7244872-6313114","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Leoben","Steiermark","8700","MarketplaceFacilitator","9,59","1,92","1,11","0,22","0","0","0","0","-2,14","-1,48","-4,64","0","0","4,58"
"04.03.2025 23:38:48 UTC","24376747262","Bestellung","304-2112352-1258730","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Bad Kleinen","","23996","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"04.03.2025 23:48:01 UTC","24376747262","Bestellung","028-7837404-7965146","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Berlin","","12161","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"05.03.2025 00:01:49 UTC","24376747262","Bestellung","306-4860627-6455549","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Bickenbach","Hessen","64404","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"05.03.2025 00:22:13 UTC","24376747262","Bestellung","302-4970959-6342767","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Tostedt","Niedersachsen","21255","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"05.03.2025 03:39:45 UTC","24376747262","Übertrag","","","Für Konten mit folgenden Endziffern: 201","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-176,17","-176,17"
"05.03.2025 08:08:00 UTC","24395170832","Bestellung","303-6342920-2809931","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Warburg","","34414","MarketplaceFacilitator","9,59","1,82","1,68","0,32","0","0","0","0","-2,14","-1,48","-5,20","0","0","4,59"
"05.03.2025 08:18:00 UTC","24395170832","Bestellung","302-7903756-6269102","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Jesenice","SI","","","14,78","0","4,16","0","0","0","-7,12","0","0","-1,54","-4,39","0","0","5,89"
"05.03.2025 09:42:30 UTC","24395170832","Bestellung","304-8731971-1423517","VA-DWTY-9F36","YOBTOP Epoxidharz Set, 2370ml/80oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuc","1","amazon.de","Amazon","Leipzig","","04179","MarketplaceFacilitator","27,72","5,27","0","0","0","0","0","0","-5,27","-4,29","-5,77","0","0","17,66"
"05.03.2025 13:29:06 UTC","24395170832","Bestellung","302-9831341-6263517","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Salzkotten","NRW","33154","MarketplaceFacilitator","9,59","1,82","1,68","0,32","0","0","0","0","-2,14","-1,48","-5,20","0","0","4,59"
"05.03.2025 18:09:11 UTC","24395170832","Bestellung","303-9528588-8045947","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Dortmund","","44267","MarketplaceFacilitator","9,59","1,82","0","0","0","0","0","0","-1,82","-1,48","-3,52","0","0","4,59"
"05.03.2025 20:32:18 UTC","24395170832","Bestellung","028-8781733-9290705","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Ueckermünde","Mecklenburg-Vorpommern","17373","MarketplaceFacilitator","9,59","1,82","1,12","0,21","0","0","-1,12","-0,21","-1,82","-1,48","-3,52","0","0","4,59"
"05.03.2025 21:07:30 UTC","24395170832","Bestellung","303-9300221-8537969","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","braunschweig","niedersachsen","38106","","9,59","1,82","0,66","0,13","0","0","-0,66","-0,13","0","-1,48","-3,52","0","0","6,41"
"05.03.2025 22:49:17 UTC","24395170832","Bestellung","304-2180198-9660306","1B-O48G-R8YJ","YOBTOP Epoxidharz Set, 474ml/16oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Bad Oldesloe","","23843","MarketplaceFacilitator","9,59","1,82","1,12","0,21","0","0","0","0","-2,03","-1,48","-4,64","0","0","4,59"
"05.03.2025 23:13:33 UTC","24395170832","Bestellung","304-1271831-7492342","V7-RISD-G3FS","YOBTOP Epoxidharz Set, 948ml/32oz Epoxidharz mit Härter Glasklar Gießharz Nicht Giftig Geruchsarm Blasenfrei Resin Gießharz für DIY Kunst, Schmuck","1","amazon.de","Amazon","Frankfurt am Main","Hessen","60486","MarketplaceFacilitator","13,10","2,49","0","0","0","0","-2,62","-0,50","-1,99","-1,62","-4,39","0","0","4,47"
