"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/03/02 5:51:15 JST","11972516293","注文","250-7211367-7473457","L7-L4CC-G9SC","BUTIRESIN レジン液 大容量 360g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","千葉県","272-003","","2,073","207","0","0","0","0","-23","0","0","0","-136","-318","0","0","1,803"
"2025/03/02 5:54:09 JST","11972516293","注文","503-2216083-0312602","BUTI-UV-0617-02","ButiResin レジン液 500g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","宮崎県","882-086","","3,891","389","0","0","0","0","-43","0","0","0","-467","-455","0","0","3,315"
"2025/03/02 6:59:45 JST","11972516293","注文","503-3993109-5467027","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","佐賀県","847-084","","6,891","689","147","15","0","0","-76","-1,511","-151","0","-360","-485","0","0","5,159"
"2025/03/02 7:02:38 JST","11972516293","注文","503-1876773-1136659","L7-L4CC-G9SC","BUTIRESIN レジン液 大容量 360g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","Fukushima-ken","971-818","","2,073","207","0","0","0","0","-23","0","0","0","-136","-318","0","0","1,803"
"2025/03/02 7:10:58 JST","11972516293","注文","249-9084067-3037421","T3-5BUQ-T38B","BUTIRESIN UVライト レジン用 UV/LED ジェルネイル ライト ネイルライト クラフト 硬化ライト 折りたたみ式 タイマー","1","amazon.jp","Amazon","","福島県","963-802","","2,272","227","0","0","0","0","-25","0","0","0","-148","-318","0","0","2,008"
"2025/03/02 7:27:01 JST","11972516293","注文","249-5596182-2262229","1U-GBU7-FVUF","BUTIRESIN レジン液 大容量 750g UVレジン液 速硬化 高い透明度 低臭 黄ばみ防止 気泡なし ハードタイプ UV/LED対応レ�","1","amazon.jp","Amazon","","神奈川県","225-001","","3,891","389","0","0","0","0","-43","0","0","0","-255","-455","0","0","3,527"
"2025/03/02 7:40:09 JST","11972516293","注文","250-8094784-9457444","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","山梨県","407-004","","2,255","225","0","0","0","0","-25","0","0","0","-270","-318","0","0","1,867"
"2025/03/02 7:47:30 JST","11972516293","注文","250-1975039-7947015","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","岡山県","710-083","","2,255","225","0","0","0","0","-25","-455","-45","0","-215","-318","0","0","1,422"
"2025/03/02 8:14:15 JST","11972516293","注文","250-4716586-8848630","KY-96VH-IIX0","BUTIRESIN UVライト アドバンス 2 in 1 両面長時間設定 (60 秒、180 秒、300 秒) 48 個の LED 48W 360 度サラウンド光源 樹脂�","1","amazon.jp","Amazon","","東京都","151-007","","6,891","689","0","0","0","0","-76","0","0","0","-450","-485","0","0","6,569"
"2025/03/02 9:01:42 JST","11972516293","注文","503-6412254-4121462","UV-300g-JP-new","ButiResin レジン液 300g UVレジン液 大容量 ハードタイプ UV‐LED対応 高い透明度 急速硬化 黄変なし 低刺激 DIY レジ�","1","amazon.jp","Amazon","","東京都","160-002","","2,255","225","0","0","0","0","-25","-455","-45","0","-215","-318","0","0","1,422"
