"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"06.03.2025 20:18:30 UTC","24375456662","Bestellung","304-9095254-9358760","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","4","amazon.de","Amazon","Tönisvorst","","47918","MarketplaceFacilitator","40,96","7,80","0","0","0","0","-6,15","-1,16","-6,64","-5,40","-14,04","0","0","15,37"
"06.03.2025 21:06:12 UTC","24375456662","Bestellung","305-0368849-4058748","UV-002","UV Harz 500g, UV Harz klar, Upgrade UV Resin hart, kristallklares Transparent UV Schnellhärtende UV Epoxidharz für Schmuck Herstellung DIY Handwerk","5","amazon.de","Amazon","Kappel am Albis","Switzerland (+41)","89","MarketplaceFacilitator","100,80","8,15","9,24","0,75","0","0","0","0","-8,90","-15,60","-25,44","0","0","69,00"
"06.03.2025 21:08:57 UTC","24375456662","Bestellung","028-4910963-4633909","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Losheim Am See","","66679","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"06.03.2025 21:16:28 UTC","24375456662","Bestellung","306-7441999-0955547","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Tostedt","","21255","MarketplaceFacilitator","23,94","4,55","0","0","0","0","0","0","-4,55","-3,70","-4,13","0","0","16,11"
"06.03.2025 22:14:15 UTC","24375456662","Bestellung","306-8766067-7335545","EPO-110116","EPRESINART Epoxidharz Set Anfänger, 18oz/532ml Ungiftig Epoxidharz Klar Gießharz Set, 1: 1-Verhältnis Epoxy Resin fur Holz, Schmuck Art, Deko Tisch","1","amazon.de","Amazon","Mülheim","","45481","MarketplaceFacilitator","14,28","2,71","0,59","0,11","0","0","-0,59","-0,11","-2,71","-2,21","-3,51","0","0","8,56"
"06.03.2025 22:41:10 UTC","24375456662","Bestellung","304-3386233-2825163","L7-UJO5-2Z9P","BUTIRESIN Epoxidharz Set, 16oz/474ml, transparent, ungiftig, 1: 1-Verhältnis; einfach zu mischendes Harz, Lebensmittelecht und geruchsarm, blasenfrei","1","amazon.de","Amazon","Solkwitz","Thüringen","07381","MarketplaceFacilitator","10,24","1,95","0","0","0","0","-1,54","-0,29","-1,66","-1,35","-3,51","0","0","3,84"
"06.03.2025 23:34:15 UTC","24375456662","Bestellung","306-2923605-5667529","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Stein","","90547","MarketplaceFacilitator","19,74","3,75","0","0","0","0","-3,95","-0,75","-3,00","-2,44","-4,13","0","0","9,22"
"06.03.2025 23:44:10 UTC","24375456662","Bestellung","302-9485048-9695501","L8-JVRH-OZ94","EPRESINART Epoxidharz, 36oz/1064ml 1:1 Ratio, Ungiftiges, klares Epoxidharz Holz Kit, Kunstgestaltung, Restaurierung, Wandfliesen, Bodenbeläge","1","amazon.de","Amazon","Thörl","Steiermark","8621","MarketplaceFacilitator","23,94","4,79","0","0","0","0","0","0","-4,79","-3,70","-4,13","0","0","16,11"
"07.03.2025 01:36:30 UTC","24375456662","Versand durch Amazon Lagergebühr","","","FBA-Lagergebühr","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-116,59","-116,59"
"07.03.2025 08:24:25 UTC","24402027822","Bestellung","303-7748180-7536323","9W-G2D2-1J3T","BUTIRESIN Epoxidharz Set, 32oz/948ml, Transparent, Ungiftig, 1: 1-Verhältnis; Lebensmittelecht Und Geruchsarm, Blasenfrei,Beschichten, Kunst","1","amazon.de","Amazon","Kierspe","Nordrhein-Westfalen","58566","MarketplaceFacilitator","23,94","4,55","0","0","0","0","-4,79","-0,91","-3,64","-2,96","-4,13","0","0","12,06"
